date,time,COND,,FC,,FLOW,,NH3_N,,NO2_NO3,,OP_DIS,,OXYGEN,,PH,,PRESS,,SUSSOL,,TEMP,,TP_P,,TP_PInLine,,TP_P_ICP,,TPN,,TURB,,Turb-JTU,
10/6/2004,8:25,396,,51,J,,,0.01,U,0.544,,0.0069,,8.62,,8.1,,719.074,,4,,11.9,,,,,,0.0142,,0.762,,1.7,,,
11/3/2004,9:00,355,,24,,,,0.038,,0.428,,0.0075,J,10.82,,8.27,,733.298,J,2,,5.7,,,,,,0.0146,,0.62,,1,,,
12/8/2004,8:30,193,J,210,,,,0.031,,0.64,,0.026,,11.97,,8.01,,691.388*,,27,,1.6,,,,,,0.0758,,0.86,,33,,,
1/5/2005,8:50,328,,13,J,,,0.01,U,2.24,,0.0335,,13.09,,7.64,,719.328,,9,,-0.2,,,,,,0.0462,,2.43,,7.8,,,
2/9/2005,8:50,237,,3,,,,0.01,U,2.48,,0.047,,13.43,,7.98,,720.598,,6,,0,,,,,,0.0587,,2.66,,9.5,,,
3/16/2005,8:10,295,,2,J,,,0.01,U,0.248,,0.0059,,10.32,,8.07,,706.374,,3,,6.7,,,,,,0.0188,,0.507,,1.7,,,
4/6/2005,8:30,152,,14,J,,,0.01,U,2.24,,0.0509,,11.48,,7.69,,713.74,,13,,6.3,,,,,,0.075,,2.09,,35,,,
5/4/2005,8:35,244,,37,J,,,0.01,U,0.092,,0.0082,,9.89,,8.08,,707.898,,3,,13.6,,,,,,0.0264,,0.363,,2.2,,,
6/8/2005,8:20,239,,80,J,,,0.01,U,0.103,,0.021,,9.69,,8.19,,708.914,,4,,13.9,,,,,,0.04,,0.401,,2.8,,,
7/13/2005,8:05,347,,110,J,,,0.02,,0.221,,0.013,,7.14,,8.3,,724.916,,2,,19.2,,,,,,0.0304,,0.519,,1.9,,,
8/3/2005,8:05,402,,65,J,,,0.021,,0.397,,0.0043,,5.91,,8.24,,731.52,,5,,19.2,,,,,,0.0213,,0.7,,2.1,,,
9/14/2005,7:50,425,,60,J,,,0.01,U,0.67,,0.003,U,8.55,,8.32,,717.804,,2,,13.5,,,,,,0.0108,,0.869,,1.5,,,
10/5/2005,8:50,327,,33,,,,0.01,U,0.212,,0.0064,,9.54,,7.87,,718.312,J,2,,9,,,,,,0.0144,,0.456,,0.9,,,
11/9/2005,8:35,332,,11,,,,0.01,U,0.104,,0.008,,12.1,,8.24,,716.026,,1,,2.8,,,,,,0.0171,,0.312,,1.1,,,
1/11/2006,8:30,152,,700,,,,0.135,,7.7,,0.101,,11.2,,7.44,,704.85,,1784,,4.7,J,,,,,0.584,,8.91,,1100,,,
2/8/2006,8:35,178,,34,,,,0.01,U,4.95,,0.0741,,12.4,,7.79,,717.55,,11,,2.6,,,,,,0.0976,,5.02,,2.4,,,
3/8/2006,8:25,167,,56,,,,0.014,,2.85,,0.0685,,11.58,,7.91,,710.438,,40,,4,,,,,,0.117,,4.36,,85,,,
4/12/2006,8:30,159,,5,,,,0.01,U,2.57,,0.0578,,10.1,,7.96,,711.454,,22,,9.6,,,,,,0.0871,,2.68,,30,,,
5/3/2006,17:35,241,,3,,,,0.01,U,1.3,,0.014,,10.5,,9.43,,715.264,,4,J,15.2,,,,,,0.0301,,1.68,,3.4,,,
6/7/2006,8:20,295,,59,,,,0.01,U,0.668,,0.0329,,8.3,,8.14,,712.216,,5,,18.3,,,,,,0.0526,,1.04,,2.7,,,
7/12/2006,8:20,380,,80,,,,0.01,U,0.447,,0.0072,,7.67,,8.13,,718.058,,8,,,,,,,,0.0241,,0.753,,3.1,,,
8/9/2006,8:25,408,,69,J,,,0.021,,0.708,,0.017,,6.56,,8.29,,726.44,,6,,18.9,,,,,,0.0274,,1.04,,3.2,,,
9/13/2006,7:55,408,,290,,,,0.011,,0.689,,0.011,,7.67,,8.36,J,725.678,,3,,14.3,,,,,,0.0156,,0.878,,1.9,,,
10/4/2006,8:35,399,,60,,,,0.01,U,0.629,,0.009,,8.6,,,,713.74,,3,,11,,,,,,0.0128,,0.843,,1.2,,,
11/15/2006,8:40,358,,5,,,,0.01,U,0.718,,0.014,,11.41,,8.05,,709.676,,2,,4,,,,,,0.0255,,1.07,,1.5,,,
12/6/2006,8:25,316,,22,J,,,0.01,U,3.26,,0.029,,13.13,,7.99,,721.36,,3,,0,,,,,,0.0403,,3.48,,7.8,,,
1/10/2007,8:30,175,,140,,,,0.06,,5.81,,0.0934,J,12.42,,7.78,,708.66,,36,,2.1,,,,,,0.125,,6.32,,60,,,
2/14/2007,8:25,177,,390,,,,0.091,,8.61,,0.0995,,12.75,,7.84,,713.486,,91,,2.1,,,,,,0.152,,8.46,,100,,,
3/7/2007,8:10,207,,60,,,,0.019,,7.94,,0.0731,,11.11,,7.76,,711.962,,41,,5.3,,,,,,0.105,,9.24,,55,,,
4/4/2007,8:05,189,,1,,,,0.01,U,2.52,,0.0346,,11.22,,7.77,,714.248,,8,,6,,,,,,0.0557,,2.65,,13,,,
5/9/2007,11:20,281,,9,,,,0.01,U,0.75,,0.0056,,10.8,,8.78,,707.39,,4,,16.5,,,,,,0.018,,1.06,,1.7,,,
6/6/2007,10:50,344,,52,,,,0.028,,0.682,,0.019,,9.2,,8.35,,718.312,,3,,15.4,,,,,,0.0349,,0.999,,1.9,,,
7/11/2007,10:50,391,,27,,,,0.01,U,0.543,,0.0053,,8.9,,8.24,,715.772,,3,,20.1,,,,,,0.0162,,0.899,,1.3,,,
8/8/2007,10:40,409,,39,,,,0.012,,0.603,,0.0084,,7.43,,8.27,,714.248,,5,,18,,,,,,0.015,,0.9,,2.3,,,
9/12/2007,11:25,420,,10,J,,,0.014,,0.79,,0.011,,9.19,,8.31,,711.2,,3,,14.1,,,,,,0.0176,,1.08,,1.8,,,
10/2/2007,12:00,414,,45,,,,0.01,U,0.78,,0.01,,10.7,,8.35,,708.152,,2,,10.6,,0.017,,,,0.0175,,1.01,,1.6,,,
11/13/2007,11:30,391,,8,,,,0.01,U,0.611,,0.0096,,12.6,,8.55,,708.914,,2,,4.4,,0.013,,,,,,0.8,,1,,,
12/11/2007,12:50,274,,140,,,,0.016,,1.76,,0.039,,13.03,,8.07,,711.2,,4,,0,,0.084,,,,,,2.19,,23,,,
1/14/2008,11:48,179,,47,,,,0.026,,4.66,,0.0823,,12.92,,7.85,,708.914,,10,,0.5,,0.137,,,,,,4.98,,24,,,
2/19/2008,12:10,188,,17,,,,0.045,,5.55,,0.1,,12.82,,7.76,,703.58,,22,,0.4,,0.116,,,,,,5.82,,38,,,
3/10/2008,11:35,212,,25,,,,0.037,,9.35,,0.106,,11.81,,7.67,,710.184,,52,,3.8,,0.192,,,,,,10.2,,50,,,
4/14/2008,12:30,154,,48,,,,0.01,U,3.25,,0.0441,,9.54,,7.85,,704.088,,22,,11.4,,0.0988,,,,,,3.47,,23,,,
5/12/2008,11:55,148,,9,,,,0.01,U,0.696,,0.015,,10.91,,8.35,,715.264,,4,,11.6,,0.032,,,,,,0.943,,5.9,,,
6/10/2008,14:20,253,,21,,,,0.01,U,0.787,,0.016,,10.35,,8.01,,736.092,,4,,14,,0.039,,,,,,1.01,,2.6,,,
7/15/2008,12:45,368,,41,,,,0.012,,0.607,,0.017,,11.45,,8.59,,713.994,,6,,18.7*,J,0.041,,,,,,0.849,,0.8,,,
8/12/2008,11:45,402,,41,,,,0.01,U,0.807,,0.016,,10.65,,8.17,,713.994,,1,,16*,J,0.031,,,,,,1.11,,1.4,,,
9/16/2008,11:40,400,,26,,,,0.01,U,0.85,,0.0084,,11.5,,8.45,,713.74,,9,,13*,J,0.038,,,,,,1.07,,1.6,,,
10/14/2008,12:00,392,,11,,16,,0.01,U,0.745,,0.011,,11.6,,8.44,,712.47,,3,,8.7*,J,0.022,,,,,,1.04,,0.9,,,
11/18/2008,11:40,360,,15,,53,,0.01,U,0.956,,0.012,,13.11,,8.29,,709.93,,1,,4.3,,0.022,,,,,,1.27,,1.2,,,
12/9/2008,11:20,342,,15,,35,,0.01,U,1.46,,0.0185,,13.26,,8.32,,713.486,,2,,3.1,,0.0337,,,,,,1.65,,1.7,,,
1/20/2009,10:45,220,,7,,220,,0.03,,4.18,,0.0635,,14.1,,7.84,,715.01,,10,,0.6,,0.139,,,,,,4.68,,20,,,
2/10/2009,12:30,174,,89,J,220,,0.029,,2.95,,0.071,,13,,7.85,,705.612,,28,,5.3,,0.239,,,,,,3.28,,100,,,
3/17/2009,12:30,152,,49,,1840,,0.057,,6.28,,0.0939,,12.5,,7.63,,714.248,,248,,2.9,,0.474,,,,,,6.73,,210,,,
4/14/2009,12:55,126,,92,J,1360,,0.01,U,2.24,,0.0744,,11.05,,7.82,,708.406,,55,,6.8,,0.208,,,,,,3.03,,65,,,
5/12/2009,11:25,206,,5,,241,,0.01,U,1.29,,0.028,,10,,8.24,,708.66,,7,,13.2,,0.0645,,,,,,1.58,,8.4,,,
6/9/2009,11:50,304,,52,,71,,0.01,U,0.63,,0.0132,,10.9,,8.68,,704.088,,6,,16.1,,0.0441,,,,,,0.976,,3.3,,,
7/14/2009,12:45,391,,25,J,25,,0.01,U,0.898,,0.0422,,10.9,,8.65,,721.614,,3,,18,,0.0481,,,,,,1.18,,2.2,,,
8/11/2009,11:45,394,,36,J,19,,0.011,,0.701,,0.0164,,11.4,,8.48,J,719.074,,2,,18.4,,0.0296,,,,,,0.979,,1,,,
9/22/2009,12:15,400,,55,,16,,0.016,,0.828,,0.02,,12.1,,8.52,,713.486,,1,U,12.5,,0.0308,,,,,,1.09,,0.8,,,
10/12/2009,12:10,430,,2,,,,0.01,U,1.02,,0.0161,,13.2,,8.43,,709.168,,3,,2.2,,0.0232,,,,,,1.16,,0.8,,,
11/9/2009,11:45,414,,7,,,,0.01,U,1.23,,0.0171,,13.2,,8.51,,713.74,,3,U,5.6,,0.0268,,,,,,1.43,,0.9,,,
1/11/2010,13:00,212,,43,,,,0.098,,3.08,,0.109,,12.8,,7.92,,711.2,,14,,,,0.22,,,,,,3.2,,85,,,
2/8/2010,13:00,258,,27,J,,,0.01,U,3.86,,0.0684,,11.6,,,,711.708,,11,,4.4,,0.117,,,,,,4.5,,22,,,
3/8/2010,11:40,270,,1,,,,0.01,U,1.95,,0.0247,,11.2,,8.23,,715.01,,5,J,8.6,,0.0539,,,,,,3.41,,8.6,,,
4/12/2010,12:15,238,,10,,,,0.01,U,1.15,,0.0358,,11,,8.17,,709.422,,5,,,,0.0665,,,,,,1.34,,12,,,
5/10/2010,11:45,161,,4,,,,0.011,,0.597,,0.0435,,10,,8.03,,708.152,,9,,12.5,,0.105,,,,,,0.812,,21,,,
6/14/2010,12:15,206,,59,,,,0.017,,0.595,,0.0677,,8.28,,7.97,,708.91,,15,,18.6,,0.131,,,,,,0.946,,25,,,
7/13/2010,12:20,266,,26,,,,0.01,U,0.224,,0.0081,,11.8,,8.73,,706.882,,4,,18.6,,0.0326,,,,,,0.481,,2.2,,,
8/16/2010,13:00,435,,22,,,,0.01,U,0.84,,0.0192,,11.2,,8.44,,709.168,,3,,18.3,,0.0352,,,,,,1.06,,1.6,,,
9/20/2010,13:30,,,130,,,,0.01,U,0.812,,0.0151,,11.9,,8.51,,710.692,,4,,14.5,,0.0278,,,,,,1.13,,2.7,,,
10/12/2010,11:30,384,,24,,15,,0.01,U,0.71,,0.0177,,12.2,,8.4,,723.646,,1,,9.9,,0.0283,,,,,,0.981,,0.8,,,
11/8/2010,12:30,356,,14,,24,,0.01,U,0.564,,0.0163,,12,,8.37,,718.312,,1,,7.2,,0.0238,,,,,,0.637,,1.2,,,
12/20/2010,13:45,214,,51,,172,,0.054,,4.26,,0.0895,,12.81,,7.71,,712.216,,5,,0.5,,0.147,,,,,,4.94,,27,,,
1/18/2011,10:00,112,,340,,2310,,0.044,,3.64,,0.0847,,11.4,,8.11,J,,,172,J,4.8,,0.372,,,,,,4.18,,190,,,
2/23/2011,12:30,220,,15,,279,,0.01,U,4.77,,0.0628,,12.4,,7.81,,,,10,J,1,,0.116,,,,,,5.11,,27,,,
3/14/2011,13:00,152,,200,,2270,,0.025,,5.25,,0.0817,,12.3,,7.67,,,,203,J,5.2,,0.33,,,,,,5.27,,150,,,
4/11/2011,11:30,180,,3,U,629,,0.02,,2.99,,0.064,,14.84,,7.53,,,,18,,8.6,,0.118,,,,,,3.19,,25,,,
5/16/2011,11:20,192,,140,,413,,0.027,,1.5,,0.0433,,9.49,,7.97,,,,13,,13,,0.0931,,,,,,1.79,,13,,,
6/21/2011,9:15,288,,31,,153,,0.03,,1.44,,0.0284,,8.69,,8.41,,,,4,,17.1,,0.0476,,,,,,1.83,,2.9,,,
7/24/2011,11:10,313,,23,,31,,0.019,,0.674,,0.021,,11.7,,8.45,,,,9,J,17.6,,0.0644,,,,,,0.973,,2.9,,,
8/15/2011,11:00,,,16,,21,,0.018,,0.824,,0.0329,,13.3,,8.56,,,,3,,17.2,,0.0434,,,,,,1.06,,1.7,,,
9/19/2011,12:00,396,,14,,23,,0.015,,0.862,,0.0289,,10.8,,8.32,,,,2,,15.7,,0.0355,,,,,,1.09,,1,,,
10/24/2011,14:45,444,,5,,27,,0.022,,0.922,,0.0195,,13,,8.63,,,,4,J,10.2,,0.0289,,,,,,1.21,,1,,,
11/28/2011,16:05,353,,6,,55,,0.01,U,2,,0.0188,,,,,,,,2,,4.1,,0.0292,,,,,,2.26,,1.1,,,
12/12/2011,16:15,417,,1,,28,,0.01,U,2.32,,0.0264,,13.79,,8.45,,719.328,,3,,1.8,,0.0307,,,,,,2.54,,1.4,,,
1/25/2012,13:30,,,12,,50,,0.032,,3.13,,,,13.05,,,,,,7,,1.8,,,,,,,,3.46,,9.5,,,
2/22/2012,14:20,240,J,7,,244,,0.023,,5.11,,0.0631,,12.3,J,8.16,J,712,,10,,3.1,J,0.159,,,,,,5.24,,50,,,
4/16/2012,16:00,182,,16,,369,,0.011,,2.46,,0.0568,,10.5,,8.02,,713.74,,11,,9.9,,0.107,,,,,,2.66,,17,,,
5/14/2012,16:20,247,,11,,198,,0.013,,1.77,,0.0456,,9.39,,8.42,J,710.692,,7,,18.5,,0.0805,,,,,,1.87,,9.9,,,
6/25/2012,17:15,262,,54,,76,,0.01,U,0.635,,0.0219,,10.7,,8.99,,709.93,,4,,21.4,,0.0425,,,,,,0.552,,2.3,,,
7/23/2012,16:15,333,,110,,37,,0.022,,0.755,,0.0551,,10.15,,8.73,,716.788,,4,,22.2,,0.0747,,,,,,0.967,,1.7,,,
8/27/2012,16:50,389,,15,,19,,0.015,,0.901,,0.0337,,11.31,,8.69,,712.978,,5,J,20,,0.0411,,,,,,1.06,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,
9/24/2012,16:10,384,,19,,20,,0.016,,0.805,,0.0198,,13.88,,8.82,,709.93,,2,,15.76,,0.0267,,,,,,0.866,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,
10/17/2012,16:10,375,,22,,26,,0.012,,0.73,,0.0196,,12.3,,8.73,,720.344,,1,,11.63,,0.0264,,,,,,0.914,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,
11/7/2012,16:00,358,,6,,27,,0.01,U,0.905,,0.0225,,12.19,,8.72,,714.756,,1,,9.61,,0.0291,,,,,,1.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,
12/5/2012,15:20,172,,1500,J,,,0.039,,5.1,,0.0789,,12.63,,7.82,,717.55,,86,,5.48,,0.349,,,,,,4.76,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,
1/9/2013,17:20,265,,16,,115,,0.012,,3.97,,0.0522,,12.8,,8.01,,706.12,,4,,1.5,,0.0721,,,,,,4.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,
2/6/2013,15:58,186,,26,,692,,0.019,,8.46,,0.0853,,12.46,,7.81,,715.518,,29,,3.26,,0.161,,,,,,8.45,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,
3/6/2013,15:54,155,,11,,479,,0.013,,3.37,,0.0563,,11.667,,7.9,,705.104,,36,,4.27,,0.142,,,,,,3.63,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,
4/3/2013,15:48,177,,2,,244,,0.01,U,1.69,,0.0295,,10.9,,8.22,,714.756,,7,,12.53,,0.0594,,,,,,1.9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
5/8/2013,16:28,250,,7,,90,,0.012,,0.816,,0.0203,,11.1,,9.07,,712.216,,5,,20.87,,0.0381,,,,,,1.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,
6/5/2013,15:16,311,,23,,47,,0.029,,0.593,,0.0208,,10.2,,8.15,,713.232,,5,,21.7,,0.0417,,,,,,0.882,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,
7/10/2013,17:22,372,,27,,19,,0.022,,0.623,,0.0399,,11.36,,8.79,,709.168,,5,,23.22,,0.0562,,,,,,0.951,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,
8/7/2013,17:46,383,,68,,13,,0.026,,0.674,,0.0288,,11.9,,8.8,,709.93,,4,,23.52,,0.0353,,,,,,0.938,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,
9/11/2013,16:25,396,,30,,12,,0.017,,0.751,,0.0196,,12.8,,8.72,,713.74,,1,,20.092,,0.0286,,,,,,1.01,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,
10/8/2013,16:35,361,,13,,18,,0.01,U,0.568,,0.0143,,13.3,,8.8,,711.708,,2,,10.82,,0.0213,,,,,,0.726,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,
11/5/2013,15:20,408,,100,,23,,0.067,,0.653,,0.0175,,12.4,,8.46,,717.296,,4,,4.57,,0.0356,,,,,,0.876,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,
12/3/2013,16:05,328,,6,,33,,0.01,U,1.15,,0.0156,,13.87,,8.47,,719.328,,3,,0.24,,0.0261,,,,,,1.31,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,
1/7/2014,15:10,266,,5,,57,,0.032,,1.87,,0.0553,,12.73,,8.05,,716.534,,5,,0.54,,0.1,,,,,,2.12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,
2/4/2014,16:25,307,,1,U,1810,,0.019,,2.11,,0.0656,,12.9,,8.12,,724.408,,4,,0.04,,0.0914,,,,,,2.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,
3/4/2014,15:10,270,,25,,169,,0.031,,2.39,,0.0682,,12.3,,7.92,,711.454,,13,,1.55,J,0.116,,,,,,2.66,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
4/8/2014,16:47,180,,2,,227,,0.01,U,1.43,,0.0347,,9.6,,8.15,,711.708,,7,,,,0.0758,,,,,,1.62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
5/6/2014,15:15,189,,12,,180,,0.013,,0.388,,0.0221,,9.95,,8.75,,709.168,,6,,16.3,,0.0578,,,,,,0.625,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,
6/3/2014,16:10,312,,48,,33,,0.019,,0.344,,0.0117,,9.6,,8.71,,708.66,,6,,22.83,,0.0379,,,,,,0.682,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,
7/8/2014,15:25,371,,52,,18,,0.018,,0.46,,0.0167,,11.44,,8.78,,711.454,,4,,,,0.0297,,,,,,0.746,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,
8/5/2014,16:15,424,,26,,12,,0.019,,0.725,,0.0129,,12.2,,8.68,,709.676,,5,,22.73,,0.0199,,,,,,0.949,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,
9/9/2014,15:30,433,,17,,7.5,,0.014,,0.816,,0.0106,,13.03,,8.67,,711.454,,4,,17.2,,0.0373,,,,,,0.993,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,
10/7/2014,15:40,425,,16,,8,,0.014,,0.745,,0.0108,,12.34,,8.59,,709.422,,1,,14.18,J,0.0175,,,,,,0.898,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,
11/4/2014,14:40,374,,110,,17,,0.014,,0.57,,0.0253,,11.1,,8.38,,713.994,,2,,,,0.033,,,,,,0.717,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,
12/2/2014,15:30,,,,,,,,,,,,,,,,,718.82,,,,,,,,,,,,,,,,,
1/6/2015,15:45,267,,59,,61,,0.037,,2.27,,0.0573,,12.64,,7.97,,722.122,,4,,,,0.0963,,,,,,2.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
2/3/2015,15:10,188,,13,,263,,0.01,U,3.05,,0.0538,,11.84,,7.96,,714.502,,10,,,,0.0912,,,,,,3.62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
3/3/2015,14:55,238,,5,,104,,0.01,U,3.27,,0.0445,,12.04,,8.1,,717.296,,4,,,,0.0715,,,,,,3.81,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
4/7/2015,16:15,184,,21,,341,,0.011,,2.65,,0.0327,,10.1,,8.18,,708.406,,11,,,,0.0717,,,,,,2.68,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
5/5/2015,15:09,281,,3,,49,,0.014,,0.65,,0.0048,,10.95,,8.96,,711.708,,2,U,17.4,,0.0194,,,,,,0.902,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,
6/2/2015,15:15,308,,24,,34,,0.03,,0.939,,0.0439,,9.25,,8.56,,711.2,,6,,19.83,,0.0739,,,,,,1.28,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,
7/7/2015,15:35,419,,21,,5,,0.018,,0.432,,0.0145,,12.39,,8.63,,709.93,,2,,24.17,,0.0259,,,,,,0.656,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,
8/4/2015,15:59,430,,14,,3,,0.012,,0.593,,0.006,,12.38,,8.71,,709.422,,3,,22.15,,0.0152,,,,,,0.764,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,
9/15/2015,17:15,442,,24,,4,,0.011,,0.582,,0.0064,,13.3,,8.56,,710.438,,3,,15.7,,0.013,,,,,,0.749,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,
"     Common data qualifiers:   U - not detected at the reported level,   J - estimated value  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Times are local (Pacific Standard or Pacific Daylight Savings).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colored background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicates that result exceeded water quality standards -OR- contrasted strongly with historical results.   The November 2006 amendment to the water quality standards was incorporated beginning in January 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterisk * indicates possible quality problem for the result. You may wish to discuss the result with the station contact person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
